County #,County,City Code,City,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_percent,non_res_taxes,non_res_taxes_per_capita
3,Yellowstone,BRD-03,Broadview,2003,99699.42360000001,34929.0564,611.6529055214725,214.28868957055215,0.35034361422326216,64770.36720000001,397.3642159509203
17,Roosevelt,BRC-17,Brockton,2003,22385.7743,2585.42385,90.63066518218623,10.467303036437247,0.11549405507943498,19800.35045,80.16336214574899
38,Glacier,BRW-38,Browning ,2003,270438.7815,79440.387,270.1686128871129,79.36102597402598,0.2937462835743475,190998.3945,190.8075869130869
2,Cascade,CAS-02,Cascade,2003,374691.77746,235992.82278000002,503.61798045698924,317.19465427419357,0.6298318697564514,138698.95468,186.42332618279568
48,Liberty,CHE-48,Chester,2003,410766.17042999994,254558.03603999998,477.6350818953488,295.9977163255814,0.6197151916710242,156208.13438999996,181.63736556976738
24,Blaine,CHK-24,Chinook,2003,659120.5079040001,370682.230056,504.3003120918134,283.6130298821729,0.5623891619375759,288438.2778480001,220.6872822096405
31,Teton,CHT-31,Choteau,2003,754708.999,479891.03400000004,430.0336176638176,273.44218461538463,0.6358623451368175,274817.9649999999,156.59143304843298
41,McCone,CIR-41,Circle,2003,388164.99229,156278.60895000002,659.0237560101868,265.3287078947369,0.402608715505296,231886.38334,393.69504811544994
49,Park,CLP-49,Clyde Park,2003,153912.14207,109408.93083,514.7563279933111,365.9161566220736,0.7108531488064163,44503.211240000004,148.8401713712375
29,Rosebud,COL-29,Colstrip,2003,14907208.78395,210431.55035,6567.052327731277,92.70112350220265,0.01411609332100878,14696777.2336,6474.351204229074
7,Flathead,CFT-07,Columbia Falls,2003,2599849.249558,1301442.786956,617.1016495509139,308.91117658580583,0.5005839423871434,1298406.462602,308.19047296510803
32,Stillwater,COL-32,Columbus,2003,2273224.67652,610862.58396,1249.0245475384615,335.6387823956044,0.2687207253508914,1662362.0925600003,913.3857651428572
26,Pondera,CON-26,Conrad,2003,1354758.787675,771434.4632669999,512.1961390075614,291.6576420669187,0.569425694289767,583324.3244080001,220.53849694064274
17,Roosevelt,CUL-17,Culbertson,2003,238321.32342,137123.32929,340.4590334571429,195.89047041428572,0.57537163407046,101197.99413,144.56856304285716
38,Glacier,CUT-38,Cut Bank,2003,1528930.4391000003,869507.19243,509.98346867911954,290.02908353235495,0.5687029116523002,659423.2466700003,219.9543851467646
13,Ravalli,DRB-13,Darby,2003,302840.840784,155207.387098,414.28295592886457,212.32200697400822,0.5125048084538275,147633.453686,201.96094895485635
28,Powell,DER-28,Deer Lodge,2003,1346944.9334,842973.31844,417.78689001240696,261.4681508808933,0.625840966127799,503971.61496000004,156.31873913151367
8,Fergus,DET-08,Denton,2003,121759.066,66566.4428,441.15603623188406,241.18276376811596,0.5467062534793097,55192.6232,199.9732724637681
