County #,County,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_per_income,fips,region,res_percent,non_res_taxes,non_res_taxes_per_capita
34,Sheridan,2008,4571065.243710003,1079192.1169499997,1350.388550579026,318.81598728212697,0.006887742237192291,30091,Plains,0.23609203969140846,3491873.126760003,1031.572563296899
34,Sheridan,2009,4652479.637870003,928306.93748,1373.628472946561,274.0794028579864,0.005870678683328485,30091,Plains,0.19952950033866185,3724172.7003900027,1099.5490700885746
34,Sheridan,2010,5320315.557930005,1014126.23329,1579.6661395279111,301.1063638034442,0.006153342555867702,30091,Plains,0.19061392548012132,4306189.324640005,1278.5597757244668
34,Sheridan,2011,5916189.002910005,1100501.8991199995,1731.3985961106248,322.06669567456817,0.006434855744407149,30091,Plains,0.18601533835019368,4815687.103790006,1409.3319004360567
34,Sheridan,2012,6197858.79439,1186750.5579699997,1746.3676512792338,334.39012622428845,0.005965669119640073,30091,Plains,0.19147750817495043,5011108.236420001,1411.9775250549453
34,Sheridan,2013,6768266.715400002,1058363.8211100004,1867.10805942069,291.96243340965526,0.004602602407968725,30091,Plains,0.15637147080830596,5709902.894290002,1575.145626011035
34,Sheridan,2014,8251332.93524,1093014.56347,2254.462550612022,298.6378588715847,0.005183504834727596,30091,Plains,0.13246521162683011,7158318.37177,1955.8246917404372
34,Sheridan,2015,9016675.373260003,1783793.7272700006,2456.1905130100795,485.91493524107887,0.008804336179295574,30091,Plains,0.19783275469360337,7232881.645990002,1970.2755777690006
34,Sheridan,2016,8921571.586709999,1793781.00519,2473.404931164402,497.30551848904906,0.009709602015719134,30091,Plains,0.20106110092330617,7127790.581519999,1976.099412675353
34,Sheridan,2017,11282742.66286,2213476.64885,3222.719983678949,632.2412593116253,0.012199294813522703,30091,Plains,0.19618249879404037,9069266.014010001,2590.4787243673236
34,Sheridan,2018,11513808.58117998,2432884.1410400015,3362.6777398306017,710.5385925934584,0.013523460909277888,30091,Plains,0.21130142332022947,9080924.44013998,2652.1391472371433
1,Silver Bow,2002,32360036.104121994,11232827.078118002,962.0655281282553,333.9525234307885,0.013303315135928508,30093,Butte,0.3471203506069999,21127209.026003994,628.1130046974667
1,Silver Bow,2003,33506660.172240008,10250955.49284,1000.9756877648326,306.2363473991755,0.011723657958237932,30093,Butte,0.30593784758448805,23255704.67940001,694.7393403656572
1,Silver Bow,2004,31951825.51828159,12265184.80338734,956.1834306404594,367.045271827488,0.012731448647193508,30093,Butte,0.38386491552320473,19686640.71489425,589.1381588129714
1,Silver Bow,2005,35833015.92057999,11924321.481829999,1072.3952810372896,356.86602866552937,0.010387003426669244,30093,Butte,0.33277471001210085,23908694.43874999,715.5292523717602
1,Silver Bow,2006,43115774.31948999,12836589.523439996,1289.3087622825271,383.85782492868026,0.009702270906949848,30093,Butte,0.2977237386094528,30279184.796049997,905.4509373538469
1,Silver Bow,2007,40038768.48595001,12654803.529219998,1195.579697391681,377.8794090364,0.00917126398664475,30093,Butte,0.3160637553989876,27383964.956730008,817.7002883552811
1,Silver Bow,2008,41188145.69993,13233654.553770013,1218.151712407725,391.3892864595414,0.008715416860412056,30093,Butte,0.32129765321754955,27954491.146159984,826.7624259481836
1,Silver Bow,2009,40520556.87698002,12785378.127159996,1191.5007315037644,375.95207384027276,0.009045287447097065,30093,Butte,0.3155281938986245,27735178.749820024,815.5486576634917
1,Silver Bow,2010,44794774.373260014,14391613.94989,1308.5261114497712,420.40177460023955,0.009790719758225597,30093,Butte,0.32127885788573124,30403160.42337001,888.1243368495316
1,Silver Bow,2011,46765465.065670006,14160802.572689991,1359.2636263819213,411.59141324487695,0.008195084369682679,30093,Butte,0.302804698997536,32604662.492980015,947.6722131370443
1,Silver Bow,2012,49282406.68862001,14613462.255789991,1429.428508530905,423.8611902366793,0.008246670091594787,30093,Butte,0.2965249312624264,34668944.43283002,1005.5673182942257
1,Silver Bow,2013,50985875.21978004,15036239.505930003,1474.4324817750157,434.82473990543673,0.008966174937763718,30093,Butte,0.2949099028135673,35949635.713850036,1039.607741869579
1,Silver Bow,2014,49277558.75748996,15755617.436779954,1417.732860276482,453.2947073128475,0.009751724472297928,30093,Butte,0.31973210187457135,33521941.320710003,964.4381529636344
1,Silver Bow,2015,49314036.095400006,16680430.578610012,1421.5224725548414,480.8287618866568,0.010780625478982208,30093,Butte,0.3382491456659731,32633605.516789995,940.6937106681846
1,Silver Bow,2016,47757853.46651575,16553912.247949934,1375.7519578992842,476.8655945137389,0.010640162905749108,30093,Butte,0.3466217814742512,31203941.218565814,898.8863633855453
1,Silver Bow,2017,52012548.622630104,19323217.40816008,1489.6906379100703,553.4359847675806,0.011773088597944122,30093,Butte,0.3715106819386419,32689331.214470025,936.2546531424897
1,Silver Bow,2018,54926129.36710007,20074858.57446003,1569.6319082988045,573.6821242665684,0.011722463010162866,30093,Butte,0.36548831686808375,34851270.79264004,995.9497840322362
32,Stillwater,2002,11887358.291905997,2790037.543257999,1408.2879151647905,330.53400583556436,0.012919053464056337,30095,Plains,0.23470627154880255,9097320.748647999,1077.7539093292262
32,Stillwater,2003,11535611.077380007,3195150.7613500003,1364.9995358395465,378.07960730682765,0.014050980273926218,30095,Plains,0.27698149148035334,8340460.316030007,986.9199285327188
32,Stillwater,2004,11498625.823209997,3538341.9889300005,1363.2040098648486,419.483341900415,0.014975651000876108,30095,Plains,0.30771868250446505,7960283.834279997,943.7206679644336
32,Stillwater,2005,12201615.32431999,3854723.13242,1438.7000736139594,454.5128089164014,0.015707790207170277,30095,Plains,0.3159190836590997,8346892.191899991,984.187264697558
32,Stillwater,2006,13364205.354302002,4267500.251382,1543.3890003813376,492.83984887192514,0.01640034223153016,30095,Plains,0.3193231575125618,9096705.102920003,1050.5491515094125
32,Stillwater,2007,13224626.252604995,4164568.934428,1491.4431321309344,469.67056889906394,0.014543479322472613,30095,Plains,0.31491014225129127,9060057.318176996,1021.7725632318704
32,Stillwater,2008,18474618.148905586,4704362.491769998,2065.3569758418766,525.9209046137505,0.014679343136812538,30095,Plains,0.25463922739040096,13770255.657135587,1539.4360712281261
32,Stillwater,2009,15363219.982125085,4562736.032240001,1692.5437900325092,502.6700487209431,0.014651343461873157,30095,Plains,0.29699086764029203,10800483.949885085,1189.873741311566
32,Stillwater,2010,12116608.797800988,4506090.432692001,1328.1386383646814,493.92638744842714,0.013695740706146245,30095,Plains,0.37189369632118513,7610518.365108987,834.2122509162542
32,Stillwater,2011,16218714.043091562,4756363.884699998,1769.8291186263161,519.0270498363159,0.01281068485783005,30095,Plains,0.29326393400011846,11462350.158391563,1250.8020687900002
