County #,County,year,per_capita_residential_taxes
32,Stillwater,2012,506.3558341427792
40,Sweet Grass,2012,595.930011920715
31,Teton,2012,431.1816901502393
21,Toole,2012,299.4125801150307
33,Treasure,2012,270.70551912742394
20,Valley,2012,280.6737983022139
44,Wheatland,2012,258.58455762679426
52,Wibaux,2012,167.94901001936108
3,Yellowstone,2012,525.3063026941342
18,Beaverhead,2013,564.0264985437935
22,Big Horn,2013,120.84809065934893
24,Blaine,2013,197.1086101522231
43,Broadwater,2013,475.6285369938327
10,Carbon,2013,881.606865501161
42,Carter,2013,182.5055437673611
2,Cascade,2013,463.3694568352212
19,Chouteau,2013,302.9783475833192
14,Custer,2013,402.0461515321765
37,Daniels,2013,377.61853987626546
16,Dawson,2013,324.9130898699639
30,Deer Lodge,2013,489.41890261588344
39,Fallon,2013,171.35565949786678
8,Fergus,2013,506.76606761098975
7,Flathead,2013,1027.5895103466892
6,Gallatin,2013,928.877810961042
50,Garfield,2013,297.72962665071765
38,Glacier,2013,160.49100866226803
53,Golden Valley,2013,332.1478673049645
46,Granite,2013,922.0742073975274
12,Hill,2013,339.6774253149941
51,Jefferson,2013,595.7536225305518
36,Judith Basin,2013,350.60625076038025
15,Lake,2013,984.6676930889439
5,Lewis & Clark,2013,665.3719023353564
48,Liberty,2013,300.9637858110971
56,Lincoln,2013,594.7319654245402
25,Madison,2013,10714.98168816802
41,McCone,2013,75.09617381628664
47,Meagher,2013,581.7041082037813
54,Mineral,2013,680.1743486458333
4,Missoula,2013,795.4289603443586
23,Musselshell,2013,325.56112688955346
49,Park,2013,827.5964728726997
55,Petroleum,2013,307.7141872222222
11,Phillips,2013,292.7296454617606
26,Pondera,2013,340.95046508283747
9,Powder River,2013,213.51422555048484
28,Powell,2013,414.1792784332325
45,Prairie,2013,230.20496105760967
13,Ravalli,2013,663.1010908362844
27,Richland,2013,211.96033136363633
17,Roosevelt,2013,120.24390250901878
29,Rosebud,2013,119.91615572641311
35,Sanders,2013,485.07679123540845
34,Sheridan,2013,291.96243340965526
1,Silver Bow,2013,434.82473990543673
32,Stillwater,2013,533.4166926953799
40,Sweet Grass,2013,612.5332527938765
31,Teton,2013,442.1180966710744
21,Toole,2013,304.1091483209685
33,Treasure,2013,280.6957043434344
20,Valley,2013,310.0657540658189
44,Wheatland,2013,256.7585150824306
52,Wibaux,2013,161.67764099090908
3,Yellowstone,2013,530.1367711088567
18,Beaverhead,2014,564.4977582499739
22,Big Horn,2014,130.80675115311396
24,Blaine,2014,191.97297540089485
43,Broadwater,2014,523.2640089702758
10,Carbon,2014,914.628981230121
42,Carter,2014,189.02595969565206
2,Cascade,2014,480.8921468556393
19,Chouteau,2014,353.53399008614554
14,Custer,2014,414.8200440617976
37,Daniels,2014,387.7139945939933
16,Dawson,2014,340.73535112034506
30,Deer Lodge,2014,507.575859719144
39,Fallon,2014,177.09445359807071
8,Fergus,2014,530.8883371506748
7,Flathead,2014,1062.8475348905022
6,Gallatin,2014,960.0226727072675
50,Garfield,2014,331.1130097490196
38,Glacier,2014,163.48566621197756
53,Golden Valley,2014,341.26984745541034
46,Granite,2014,909.4265783370355
12,Hill,2014,360.9053674665297
51,Jefferson,2014,638.0520484280995
36,Judith Basin,2014,365.0564280997983
15,Lake,2014,1043.3271941284418
5,Lewis & Clark,2014,675.7623030623699
48,Liberty,2014,307.5514016226576
56,Lincoln,2014,579.0987007908037
25,Madison,2014,11139.017379329056
41,McCone,2014,77.21138674757283
47,Meagher,2014,595.9708717995695
54,Mineral,2014,705.8960670023864
4,Missoula,2014,831.9873717636764
23,Musselshell,2014,334.6418960968777
49,Park,2014,862.3398044229205
55,Petroleum,2014,334.91081508196726
11,Phillips,2014,307.8451447146286
26,Pondera,2014,367.27182445983374
9,Powder River,2014,220.63294016319645
28,Powell,2014,436.806384287375
45,Prairie,2014,262.77772519111113
13,Ravalli,2014,683.8853640458481
27,Richland,2014,205.483122870523
17,Roosevelt,2014,113.26255539920254
29,Rosebud,2014,131.49718422920233
35,Sanders,2014,514.1266693177423
34,Sheridan,2014,298.6378588715847
1,Silver Bow,2014,453.2947073128475
32,Stillwater,2014,526.8742799210296
40,Sweet Grass,2014,609.7616868461541
31,Teton,2014,459.28493530260334
21,Toole,2014,323.15139313660353
33,Treasure,2014,296.76504827285913
20,Valley,2014,324.65084910985865
44,Wheatland,2014,259.3516739043062
52,Wibaux,2014,149.39990908587257
3,Yellowstone,2014,538.4084703162074
18,Beaverhead,2015,615.3141997773718
22,Big Horn,2015,152.6456114917724
24,Blaine,2015,248.14507706218146
43,Broadwater,2015,527.722006803781
10,Carbon,2015,878.4826745150436
42,Carter,2015,246.7406554402789
2,Cascade,2015,501.98573726720895
19,Chouteau,2015,382.26891969334724
14,Custer,2015,472.153194824844
37,Daniels,2015,600.4097605254142
16,Dawson,2015,479.033189331383
30,Deer Lodge,2015,564.5860131436732
39,Fallon,2015,272.7793352664775
8,Fergus,2015,567.7542665823461
7,Flathead,2015,1018.3867015731026
6,Gallatin,2015,936.1466149047225
50,Garfield,2015,462.5279532476636
38,Glacier,2015,206.09410444232736
53,Golden Valley,2015,389.97189476772616
46,Granite,2015,1051.7242627697165
12,Hill,2015,383.6047883466147
51,Jefferson,2015,655.4475790107136
36,Judith Basin,2015,407.5956099430346
15,Lake,2015,964.4760817465113
5,Lewis & Clark,2015,679.5766190374168
48,Liberty,2015,330.9630419732441
56,Lincoln,2015,581.1895318401298
25,Madison,2015,11108.530337215998
41,McCone,2015,114.19585892705997
47,Meagher,2015,666.988394055982
54,Mineral,2015,694.3426381657509
